description,__CLASS__,company,redirect_url,created,adref,location,category,id,salary_is_predicted,title,longitude,latitude,contract_time,salary_min,salary_max,contract_type
"Die Fachhochschule Kufstein Tirol ist international mehrfach ausgezeichnet und laut dem Wirtschaftsmagazin trend im Tirol-Ranking 2022 auf Platz 1 der besten Arbeitgeber:innen. Wir sind eine sich stetig weiterentwickelnde Wissensorganisation. Als Arbeitgeberin bieten wir vielseitige, interessante Aufgaben, ein leistungsförderndes und familienfreundliches Umfeld mit flexiblen Arbeitsbedingungen in einer partnerschaftlich geprägten Kultur. Die FH verfügt bei 2200 Studierenden und 10000 Absolvent:…",Adzuna::API::Response::Job,"{'display_name': 'Fachhochschule Kufstein Tirol Bildungs GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",https://www.adzuna.de/land/ad/5255162552?se=5g0VRNxN8BGd77fPIx1smA&utm_medium=api&utm_source=a4bcf954&v=8999EFBCA7563AEC600A8674A82FA90785DC87B3,2025-06-17T20:17:23Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNWcwVlJOeE44QkdkNzdmUEl4MXNtQSIsImkiOiI1MjU1MTYyNTUyIn0.sj9cxw-19y__uilSDLQtwubDDbTz_FOHFUx4txawj2Y,"{'display_name': 'Deutschland', 'area': ['Deutschland'], '__CLASS__': 'Adzuna::API::Response::Location'}","{'tag': 'consultancy-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Beraterstellen'}",5255162552,0,Professur (FH) für Data Science mit Option Studiengangsleitung (w/m/d),,,,,,
"Du begeisterst dich für die komplexen Zusammenhänge in der IT und arbeitest gerne im Team? Willkommen in der Königsklasse Die Firma ZIEHL-ABEGG SE, mit derzeit über 5.000 Mitarbeitern weltweit, entwickelt, produziert und vertreibt global Ventilatoren, elektrische Spezialmotoren und Regelsysteme für die allgemeine Lufttechnik und Antriebstechnik. Neben dem Hauptsitz in Künzelsau befinden sich weitere süddeutsche Standorte des Unternehmens in Bieringen und Gewerbepark Hohenlohe. Als mittelständis…",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ZIEHL-ABEGG SE'}",https://www.adzuna.de/land/ad/5259456833?se=5g0VRNxN8BGd77fPIx1smA&utm_medium=api&utm_source=a4bcf954&v=7D454F40DB3F8BDFAC92C9573484439CD29266C2,2025-06-20T08:10:10Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI1OTQ1NjgzMyIsInMiOiI1ZzBWUk54TjhCR2Q3N2ZQSXgxc21BIn0.eR91j5zYgV4-4OvkaVgfuGKqlXgzEJbe5NkUJwol9pQ,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland'], 'display_name': 'Deutschland'}","{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",5259456833,0,Duales Studium Data Science und Künstliche Intelligenz (m/w/d) ab September 2025,,,,,,
"Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu definieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen ein Zeichen zu setzen und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierende Menschen. In einem offenen und modernen Umfeld mit zahlreichen Entwicklungs- und Weiterbildungsmöglichkeiten, arbeiten die Mitarbeitenden bei ZEISS in einer …",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ZEISS'}",https://www.adzuna.de/land/ad/5255157657?se=5g0VRNxN8BGd77fPIx1smA&utm_medium=api&utm_source=a4bcf954&v=8B7522BAAFFC072ED980160B1A956D88C8C2EE3C,2025-06-17T20:17:09Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNWcwVlJOeE44QkdkNzdmUEl4MXNtQSIsImkiOiI1MjU1MTU3NjU3In0.L5h_-EXi7KlrMvmYoQ9-QiJn_qpCGiqN_FFvBr-8jrk,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen'], 'display_name': 'Oberkochen, Ostalbkreis'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",5255157657,0,"Duales Studium – Data Science und Künstliche Intelligenz (m/w/x), Beginn Herbst 2026",10.10558,48.78408,,,,
"Möchten Sie Ihre Ideen in nutzbringende und sinnvolle Technologien verwandeln? Ob im Bereich Mobility Solutions, Consumer Goods, Industrial Technology oder Energy and Building Technology - mit uns verbessern Sie die Lebensqualität der Menschen auf der ganzen Welt. Willkommen bei Bosch. Die Robert Bosch Elektronik GmbH freut sich auf Ihre Bewerbung! Anstellungsart: Befristet Arbeitszeit: Vollzeit Arbeitsort: Salzgitter Aufgaben Wir suchen eine engagierte Persönlichkeit, die Teil unseres Projektt…",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Bosch Gruppe'}",https://www.adzuna.de/land/ad/5240890986?se=5g0VRNxN8BGd77fPIx1smA&utm_medium=api&utm_source=a4bcf954&v=C0F8D1DED804AD09C017986B74D27460ED794985,2025-06-09T08:06:40Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI0MDg5MDk4NiIsInMiOiI1ZzBWUk54TjhCR2Q3N2ZQSXgxc21BIn0.XeBRQJgZozQaYqr30Y33dkUOoK4fMAmhSIbnwOKilkU,"{'display_name': 'Salzgitter, Niedersachsen', 'area': ['Deutschland', 'Niedersachsen', 'Salzgitter'], '__CLASS__': 'Adzuna::API::Response::Location'}","{'tag': 'scientific-qa-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung'}",5240890986,0,Pflichtpraktikum in den Bereichen Wasserstoffcampus und energieorientiertes Data Science,10.373516,52.120502,,,,
"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lidl Stiftung & Co. KG'}",https://www.adzuna.de/land/ad/5196599071?se=5g0VRNxN8BGd77fPIx1smA&utm_medium=api&utm_source=a4bcf954&v=B05D2F43BE90D34C617E73D32CA793E4E1837E9E,2025-05-13T19:32:53Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTE5NjU5OTA3MSIsInMiOiI1ZzBWUk54TjhCR2Q3N2ZQSXgxc21BIn0.fckOYvRQABds66uKMEvnHz0gHR9N8_q1WOGSNi69CTc,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], 'display_name': 'Neckarsulm, Heilbronn (Kreis)'}","{'label': 'Stellen aus Wissenschaft & Qualitätssicherung', 'tag': 'scientific-qa-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",5196599071,0,Praktikum Data Science,9.2274,49.18975,,,,
"When travelers are searching for a hotel, we want the obvious choice to be trivago! Our leading metasearch engine is super fast and constantly optimized – enabling millions of travelers to compare hotel prices from hundreds of booking sites and find great deals in just a few clicks. We use cutting-edge technology, real-time auction, and machine learning techniques with petabytes of data to create an experience – time and money saved! In the lively city of Düsseldorf, we seize opportunities to l…",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'trivago N.V.'}",https://www.adzuna.de/land/ad/5221191207?se=5g0VRNxN8BGd77fPIx1smA&utm_medium=api&utm_source=a4bcf954&v=98645105F045E80C016B917754C84A02C09FDF07,2025-05-29T07:53:45Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTIyMTE5MTIwNyIsInMiOiI1ZzBWUk54TjhCR2Q3N2ZQSXgxc21BIn0.5DJFoyP9y5FkDQ5uYb5ifQRIlsW0csPFriDj1A5DWkw,"{'area': ['Deutschland', 'Nordrhein-Westfalen', 'Düsseldorf'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Düsseldorf, Nordrhein-Westfalen'}","{'tag': 'scientific-qa-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung'}",5221191207,0,Data Science Lead - Price,6.808387,51.226802,,,,
"Als eigenfinanziertes Familienunternehmen sind wir mehr als nur ein ca. 4.700 Standorte umspannendes Filialnetz in 34 Ländern, mehr als ca. 8,7 Mrd. Euro Jahresumsatz und mehr als einer der erfolgreichsten Online-Shops für Schuhe in Europa. Deichmann ist Wegbereiter, Förderer und Arbeitgeber von über 49.000 engagierten Mitarbeiterinnen und Mitarbeitern weltweit. Als nachhaltig expandierendes Unternehmen sind wir seit mehreren Jahrzehnten in der Lage, unseren Mitarbeitern einen sicheren Arbeitsp…",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Deichmann SE'}",https://www.adzuna.de/land/ad/5207046190?se=5g0VRNxN8BGd77fPIx1smA&utm_medium=api&utm_source=a4bcf954&v=99ABBDD1537458D2EC7E10DBD42B3B5690D3F12E,2025-05-20T07:34:57Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNWcwVlJOeE44QkdkNzdmUEl4MXNtQSIsImkiOiI1MjA3MDQ2MTkwIn0.Dz65xmFdBLEDy_q7A59pKOgcrrAkVRjDpmejq3qlVAk,"{'area': ['Deutschland', 'Nordrhein-Westfalen', 'Essen'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Essen, Nordrhein-Westfalen'}","{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",5207046190,0,Team Lead Data Science Engineering (m/w/d),7.014478,51.444823,,,,
"Für den Weltmarkt projektieren und fertigen wir Hochspannungs- und Hochstromprüfsysteme zur Prüfung von Energiekabeln, Hochspannungstransformatoren und weiteren Geräten der elektrischen Energieübertragung. Mit unseren innovativen Produkten und digitalen Lösungen unterstützen wir den Netzausbau für eine nachhaltige Energieversorgung. Wir eröffnen Ihnen als Unternehmen in der REINHAUSEN Gruppe vielfältige Möglichkeiten in einer zukunftsorientierten Branche. HIGHVOLT - where Power meets Passion. F…",Adzuna::API::Response::Job,"{'display_name': 'HIGHVOLT Prüftechnik Dresden GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",https://www.adzuna.de/land/ad/5259456364?se=5g0VRNxN8BGd77fPIx1smA&utm_medium=api&utm_source=a4bcf954&v=CE8D9B408A667807C1CD5BA8E130395827DBE9FE,2025-06-20T08:10:04Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI1OTQ1NjM2NCIsInMiOiI1ZzBWUk54TjhCR2Q3N2ZQSXgxc21BIn0.Yj29a4cDrT7YGLTRvmSFn5RJmAfyZegRgNdmQCVoKO4,"{'area': ['Deutschland', 'Sachsen', 'Dresden'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Dresden, Sachsen'}","{'label': 'Technikerstellen', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'engineering-jobs'}",5259456364,0,Entwicklungsingenieur (m/w/d) im Bereich Messtechnik / Data Science,13.756452,51.052725,,,,
"Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Mercedes-Benz Tech Innovation'}",https://www.adzuna.de/land/ad/5255176901?se=5g0VRNxN8BGd77fPIx1smA&utm_medium=api&utm_source=a4bcf954&v=04DB68A1074178292A3B1B98FFAA9D2491BABE66,2025-06-17T20:18:01Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI1NTE3NjkwMSIsInMiOiI1ZzBWUk54TjhCR2Q3N2ZQSXgxc21BIn0.Ss8kZjkoJ6pQexwrRFanMHbaQGhdEZwlUKOOQzozdv8,"{'display_name': 'Ulm, Baden-Württemberg', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Ulm']}","{'tag': 'scientific-qa-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung'}",5255176901,0,Werkstudent Data Science im Bereich Fahrzeugdiagnose (m/w/d),9.856945,48.383137,,,,
"Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…",Adzuna::API::Response::Job,"{'display_name': 'Mercedes-Benz Group AG', '__CLASS__': 'Adzuna::API::Response::Company'}",https://www.adzuna.de/land/ad/5255165929?se=5g0VRNxN8BGd77fPIx1smA&utm_medium=api&utm_source=a4bcf954&v=7FB9DB8FF1444E8A1FCE53928BE7AF3A84FE5ADF,2025-06-17T20:17:32Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNWcwVlJOeE44QkdkNzdmUEl4MXNtQSIsImkiOiI1MjU1MTY1OTI5In0.BOfcOubfeYaQnXadzRsi08lTr1wC0xVutKp_2FUT8ws,"{'display_name': 'Esslingen am Neckar, Esslingen (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Esslingen (Kreis)', 'Esslingen am Neckar'], '__CLASS__': 'Adzuna::API::Response::Location'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",5255165929,0,"Duales Studium Wirtschaftsinformatik/Data Science (B.Sc.), Stuttgart 2026 (w/m/d)",9.315933,48.745846,,,,
